title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Last Emperor",movie,"Biography, Drama, History",1987,tt0093389,7.7,116259,
"Shaun of the Dead",movie,"Comedy, Horror",2004,tt0365748,7.9,621466,
"V for Vendetta",movie,"Action, Drama, Sci-Fi",2005,tt0434409,8.1,1218395,
"The Evil Dead",movie,Horror,1981,tt0083907,7.4,243491,
"Harry Potter and the Half-Blood Prince",movie,"Action, Adventure, Family",2009,tt0417741,7.6,630931,
Goodfellas,movie,"Biography, Crime, Drama",1990,tt0099685,8.7,1333339,
Gandhi,movie,"Biography, Drama, History",1982,tt0083987,8,244368,
Kolya,movie,"Comedy, Drama, Music",1996,tt0116790,7.7,16625,
"Mr. & Mrs. Smith",movie,"Action, Comedy, Crime",2005,tt0356910,6.5,570328,
"Closely Watched Trains",movie,"Comedy, Drama, Romance",1966,tt0060802,7.6,14500,
"The Fog",movie,"Horror, Mystery",2005,tt0432291,3.7,40449,
"City of Angels",movie,"Drama, Fantasy, Romance",1998,tt0120632,6.7,131891,
Persona,movie,"Drama, Thriller",1966,tt0060827,8,136685,
"Roman Holiday",movie,"Comedy, Drama, Romance",1953,tt0046250,8,153887,
Se7en,movie,"Crime, Drama, Mystery",1995,tt0114369,8.6,1921779,
Shrek,movie,"Adventure, Animation, Comedy",2001,tt0126029,7.9,777030,
"Shrek 2",movie,"Adventure, Animation, Comedy",2004,tt0298148,7.4,533875,
"Shrek the Third",movie,"Adventure, Animation, Comedy",2007,tt0413267,6.1,348855,
"Austin Powers: International Man of Mystery",movie,"Adventure, Comedy",1997,tt0118655,7,266733,
"Austin Powers: The Spy Who Shagged Me",movie,"Action, Adventure, Comedy",1999,tt0145660,6.7,256959,
"Underworld: Evolution",movie,"Action, Fantasy, Thriller",2006,tt0401855,6.7,214478,
"Barren Lives",movie,Drama,1963,tt0057654,7.5,3200,
"American Graffiti",movie,"Comedy, Drama",1973,tt0069704,7.4,102809,
"Close Encounters of the Third Kind",movie,"Drama, Sci-Fi",1977,tt0075860,7.6,226232,
Dune,movie,"Action, Adventure, Sci-Fi",1984,tt0087182,6.3,189046,
"In the Mood for Love",movie,"Drama, Romance",2000,tt0118694,8.1,178156,
2046,movie,"Drama, Romance, Sci-Fi",2004,tt0212712,7.4,64074,
"Enemy at the Gates",movie,"Action, Drama, War",2001,tt0215750,7.5,286833,
"The Mask",movie,"Comedy, Crime, Fantasy",1994,tt0110475,7,449367,
"Black Hawk Down",movie,"Action, Drama, History",2001,tt0265086,7.7,441393,
"Saving Private Ryan",movie,"Drama, War",1998,tt0120815,8.6,1577037,
"Sleepless in Seattle",movie,"Comedy, Drama, Romance",1993,tt0108160,6.8,199455,
"Total Recall",movie,"Action, Adventure, Sci-Fi",1990,tt0100802,7.5,370293,
"The Running Man",movie,"Action, Sci-Fi, Thriller",1987,tt0093894,6.6,175150,
Sliver,movie,"Drama, Thriller",1993,tt0108162,5.1,36164,
Tsotsi,movie,"Crime, Drama",2005,tt0468565,7.2,32039,
"A Man for All Seasons",movie,"Biography, Drama, History",1966,tt0060665,7.7,38905,
