Title,Type,Year,Rating,Votes,Genre
Girl with a Pearl Earring,movie,2003,6.9,84315.0,Biography
Flags of Our Fathers,movie,2006,7.1,132231.0,Action
Objective 500 Million,movie,1966,6.1,286.0,Crime
Dark Blue Almost Black,movie,2006,7.1,8778.0,Comedy
Brothers,movie,2004,7.5,12189.0,Drama
Corpse Bride,movie,2005,7.4,314617.0,Animation
Ménage,movie,1986,6.8,3841.0,Comedy
What Women Want,movie,2000,6.5,231591.0,Comedy
Beetlejuice,movie,1988,7.5,404444.0,Comedy
My Girl,movie,1991,6.9,93709.0,Comedy
Law of Desire,movie,1987,7.1,14856.0,Comedy
The Down-in-the-Hole Gang,movie,1974,6.2,567.0,Adventure
